id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
119;San Lorenzo;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;11;2
161;Tapenagá;22;Chaco;2024;Dengue;5;De 5 a 9 años;6;1
056;Juárez Celman;14;Córdoba;2024;Dengue;11;De 45 a 65 años;10;1
679;Rivadavia;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;10;1
035;Banda;86;Santiago del Estero;2024;Dengue;4;De 2 a 4 años;14;3
098;Uruguay;30;Entre Ríos;2024;Dengue;9;De 25 a 34 años;5;1
119;Presidencia de la Plaza;22;Chaco;2024;Dengue;5;De 5 a 9 años;6;1
098;Berisso;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;14;1
091;San Carlos;50;Mendoza;2024;Dengue;9;De 25 a 34 años;13;2
003;COMUNA 3;02;CABA;2024;Dengue;6;De 10 a 14 años;8;1
049;Capital;86;Santiago del Estero;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);9;1
091;Punilla;14;Córdoba;2024;Dengue;6;De 10 a 14 años;7;2
119;Río Segundo;14;Córdoba;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);13;7
091;Tala;30;Entre Ríos;2024;Dengue;6;De 10 a 14 años;15;2
042;Capayán;10;Catamarca;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);15;1
077;Río Chico;90;Tucumán;2024;Dengue;6;De 10 a 14 años;19;3
049;Gualeguay;30;Entre Ríos;2024;Dengue;12;Mayores de 65 años;12;1
784;Suipacha;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;11;1
408;Hurlingham;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;8;2
014;Cainguás;54;Misiones;2024;Dengue;5;De 5 a 9 años;7;1
091;San Martín;70;San Juan;2024;Dengue;9;De 25 a 34 años;12;1
154;Sargento Cabral;22;Chaco;2024;Dengue;7;De 15 a 19 años;15;1
154;Sargento Cabral;22;Chaco;2024;Dengue;12;Mayores de 65 años;18;1
007;Almirante Brown;22;Chaco;2024;Dengue;9;De 25 a 34 años;4;1
049;La Cocha;90;Tucumán;2024;Dengue;3;De 13 a 24 meses;17;2
098;Tumbaya;38;Jujuy;2024;Dengue;11;De 45 a 65 años;12;1
035;Caucete;70;San Juan;2024;Dengue;9;De 25 a 34 años;11;1
168;25 de Mayo;22;Chaco;2024;Dengue;9;De 25 a 34 años;8;1
001;COMUNA 1;02;CABA;2024;Dengue;11;De 45 a 65 años;17;125
028;Federación;30;Entre Ríos;2024;Dengue;11;De 45 a 65 años;15;66
035;Avellaneda;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;9;71
021;Dr. Manuel Belgrano;38;Jujuy;2024;Dengue;6;De 10 a 14 años;13;61
623;Pergamino;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;12;4
568;Morón;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;9;65
007;Capital;50;Mendoza;2024;Dengue;11;De 45 a 65 años;15;30
049;Capital;10;Catamarca;2024;Dengue;4;De 2 a 4 años;5;2
140;San Fernando;22;Chaco;2024;Dengue;5;De 5 a 9 años;1;34
140;San Fernando;22;Chaco;2024;Dengue;4;De 2 a 4 años;4;10
420;La Costa;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;15;5
126;San Martín;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;16;12
035;Patiño;34;Formosa;2024;Dengue;5;De 5 a 9 años;8;7
126;San Alberto;14;Córdoba;2024;Dengue;6;De 10 a 14 años;15;18
028;Almirante Brown;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;10;23
084;Ituzaingó;18;Corrientes;2024;Dengue;10;De 35 a 44 años;10;1
091;Oberá;54;Misiones;2024;Dengue;11;De 45 a 65 años;5;31
021;Cafayate;66;Salta;2024;Dengue;9;De 25 a 34 años;15;5
043;Fray Justo Santa María de Oro;22;Chaco;2024;Dengue;9;De 25 a 34 años;3;11
001;COMUNA 1;02;CABA;2024;Dengue;7;De 15 a 19 años;14;87
021;Castro Barros;46;La Rioja;2024;Dengue;10;De 35 a 44 años;13;3
002;COMUNA 2;02;CABA;2024;Dengue;9;De 25 a 34 años;12;12
070;Minas;14;Córdoba;2024;Dengue;7;De 15 a 19 años;15;1
021;Güer Aike;78;Santa Cruz;2024;Dengue;8;De 20 a 24 años;13;2
011;COMUNA 11;02;CABA;2024;Dengue;9;De 25 a 34 años;17;6
001;COMUNA 1;02;CABA;2024;Dengue;6;De 10 a 14 años;15;46
009;COMUNA 9;02;CABA;2024;Dengue;11;De 45 a 65 años;17;7
006;COMUNA 6;02;CABA;2024;Dengue;9;De 25 a 34 años;13;20
140;San Fernando;22;Chaco;2024;Dengue;11;De 45 a 65 años;16;59
063;La Capital;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;8;25
119;Yerba Buena;90;Tucumán;2024;Dengue;7;De 15 a 19 años;13;35
021;Dr. Manuel Belgrano;38;Jujuy;2024;Dengue;10;De 35 a 44 años;11;45
434;Lanús;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;14;32
001;COMUNA 1;02;CABA;2024;Dengue;9;De 25 a 34 años;6;49
999;desconocido;02;CABA;2024;Dengue;10;De 35 a 44 años;17;1
091;San Cristóbal;82;Santa Fe;2024;Dengue;6;De 10 a 14 años;17;10
274;Florencio Varela;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;10;48
760;San Miguel;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;1;3
112;Metán;66;Salta;2024;Dengue;12;Mayores de 65 años;16;4
091;San Cristóbal;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;11;3
413;Junín;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;10;5
140;San Fernando;22;Chaco;2024;Dengue;9;De 25 a 34 años;14;40
049;Ischilín;14;Córdoba;2024;Dengue;8;De 20 a 24 años;16;13
410;Ituzaingó;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;11;25
084;Paraná;30;Entre Ríos;2024;Dengue;11;De 45 a 65 años;19;9
007;Anta;66;Salta;2024;Dengue;5;De 5 a 9 años;11;30
010;COMUNA 10;02;CABA;2024;Dengue;12;Mayores de 65 años;15;4
084;Montecarlo;54;Misiones;2024;Dengue;11;De 45 a 65 años;6;13
161;Tercero Arriba;14;Córdoba;2024;Dengue;12;Mayores de 65 años;15;16
105;Tafí Viejo;90;Tucumán;2024;Dengue;6;De 10 a 14 años;2;1
077;9 de Julio;82;Santa Fe;2024;Dengue;9;De 25 a 34 años;3;1
119;Yerba Buena;90;Tucumán;2024;Dengue;3;De 13 a 24 meses;14;3
410;Ituzaingó;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;9;14
049;Ischilín;14;Córdoba;2024;Dengue;8;De 20 a 24 años;18;3
408;Hurlingham;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;10;2
049;Pilcomayo;34;Formosa;2024;Dengue;4;De 2 a 4 años;1;2
168;Santo Tomé;18;Corrientes;2024;Dengue;5;De 5 a 9 años;18;4
805;Tigre;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;5;1
638;Pilar;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;6;7
133;San Cosme;18;Corrientes;2024;Dengue;12;Mayores de 65 años;11;1
028;Capital;66;Salta;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);7;1
035;Belén;10;Catamarca;2024;Dengue;9;De 25 a 34 años;19;1
004;COMUNA 4;02;CABA;2024;Dengue;7;De 15 a 19 años;19;4
007;Burruyacú;90;Tucumán;2024;Dengue;6;De 10 a 14 años;10;4
042;General López;82;Santa Fe;2024;Dengue;11;De 45 a 65 años;8;6
063;Lules;90;Tucumán;2024;Dengue;4;De 2 a 4 años;17;2
015;COMUNA 15;02;CABA;2024;Dengue;8;De 20 a 24 años;12;13
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;2;3
049;General Obligado;82;Santa Fe;2024;Dengue;7;De 15 a 19 años;5;1
091;San Cristóbal;82;Santa Fe;2024;Dengue;7;De 15 a 19 años;8;14
021;Godoy Cruz;50;Mendoza;2024;Dengue;9;De 25 a 34 años;10;7
434;Lanús;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;4;3
021;Colón;14;Córdoba;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);14;5
015;COMUNA 15;02;CABA;2024;Dengue;9;De 25 a 34 años;18;8
126;San Martín;82;Santa Fe;2024;Dengue;6;De 10 a 14 años;12;13
007;COMUNA 7;02;CABA;2024;Dengue;9;De 25 a 34 años;1;2
119;Paso de los Libres;18;Corrientes;2024;Dengue;10;De 35 a 44 años;11;2
168;Santo Tomé;18;Corrientes;2024;Dengue;10;De 35 a 44 años;15;13
091;San Cristóbal;82;Santa Fe;2024;Dengue;10;De 35 a 44 años;6;7
021;Chicligasta;90;Tucumán;2024;Dengue;12;Mayores de 65 años;6;1
035;Graneros;90;Tucumán;2024;Dengue;5;De 5 a 9 años;17;2
049;Capital;86;Santiago del Estero;2024;Dengue;8;De 20 a 24 años;3;2
042;Eldorado;54;Misiones;2024;Dengue;6;De 10 a 14 años;14;8
042;Pilagás;34;Formosa;2024;Dengue;10;De 35 a 44 años;7;3
648;Presidente Perón;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;18;1
126;San Martín;82;Santa Fe;2024;Dengue;5;De 5 a 9 años;17;5
014;Capital;14;Córdoba;2024;Dengue;8;De 20 a 24 años;5;6
007;Belgrano;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;13;6
749;San Fernando;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;1;1
028;Capital;54;Misiones;2024;Dengue;10;De 35 a 44 años;13;16
056;Bahía Blanca;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;12;5
763;San Nicolás;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;9;1
056;La Capital;74;San Luis;2024;Dengue;5;De 5 a 9 años;5;1
063;San Pedro;38;Jujuy;2024;Dengue;12;Mayores de 65 años;11;5
133;San Cosme;18;Corrientes;2024;Dengue;9;De 25 a 34 años;4;4
042;Belgrano;86;Santiago del Estero;2024;Dengue;5;De 5 a 9 años;9;2
070;Goya;18;Corrientes;2024;Dengue;8;De 20 a 24 años;9;2
021;Chicligasta;90;Tucumán;2024;Dengue;4;De 2 a 4 años;11;2
005;COMUNA 5;02;CABA;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);13;1
119;San Lorenzo;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;5;1
042;Empedrado;18;Corrientes;2024;Dengue;5;De 5 a 9 años;16;1
154;Sargento Cabral;22;Chaco;2024;Dengue;7;De 15 a 19 años;14;2
011;COMUNA 11;02;CABA;2024;Dengue;7;De 15 a 19 años;6;4
014;Cainguás;54;Misiones;2024;Dengue;5;De 5 a 9 años;12;1
063;Marcos Juárez;14;Córdoba;2024;Dengue;8;De 20 a 24 años;16;7
049;General Manuel Belgrano;54;Misiones;2024;Dengue;7;De 15 a 19 años;6;1
008;COMUNA 8;02;CABA;2024;Dengue;7;De 15 a 19 años;3;2
042;Capayán;10;Catamarca;2024;Dengue;12;Mayores de 65 años;11;2
042;Feliciano;30;Entre Ríos;2024;Dengue;10;De 35 a 44 años;14;3
056;Copo;86;Santiago del Estero;2024;Dengue;8;De 20 a 24 años;4;1
161;Robles;86;Santiago del Estero;2024;Dengue;9;De 25 a 34 años;10;3
182;Unión;14;Córdoba;2024;Dengue;6;De 10 a 14 años;6;2
035;Curuzú Cuatiá;18;Corrientes;2024;Dengue;9;De 25 a 34 años;4;3
007;Arauco;46;La Rioja;2024;Dengue;9;De 25 a 34 años;9;1
882;Zárate;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;7;3
714;Salto;06;Buenos Aires;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);14;1
098;Mayor Luis J. Fontana;22;Chaco;2024;Dengue;4;De 2 a 4 años;4;1
091;Berazategui;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;11;2
105;San Rafael;50;Mendoza;2024;Dengue;12;Mayores de 65 años;1;1
098;San Javier;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;17;1
091;General San Martín;46;La Rioja;2024;Dengue;5;De 5 a 9 años;16;1
007;Belgrano;82;Santa Fe;2024;Dengue;10;De 35 a 44 años;3;1
035;Garay;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;6;1
084;Paraná;30;Entre Ríos;2024;Dengue;8;De 20 a 24 años;19;5
126;1º de Mayo;22;Chaco;2024;Dengue;11;De 45 a 65 años;13;1
105;Victoria;30;Entre Ríos;2024;Dengue;4;De 2 a 4 años;14;1
113;Villaguay;30;Entre Ríos;2024;Dengue;4;De 2 a 4 años;17;2
133;Quitilipi;22;Chaco;2024;Dengue;9;De 25 a 34 años;12;1
035;Chamical;46;La Rioja;2024;Dengue;8;De 20 a 24 años;15;1
012;COMUNA 12;02;CABA;2024;Dengue;4;De 2 a 4 años;13;2
056;General Donovan;22;Chaco;2024;Dengue;9;De 25 a 34 años;14;4
133;San Javier;14;Córdoba;2024;Dengue;6;De 10 a 14 años;18;5
028;Guaymallén;50;Mendoza;2024;Dengue;7;De 15 a 19 años;19;1
021;Candelaria;54;Misiones;2024;Dengue;7;De 15 a 19 años;4;1
539;Merlo;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;19;4
091;Punilla;14;Córdoba;2024;Dengue;6;De 10 a 14 años;6;1
014;Cainguás;54;Misiones;2024;Dengue;7;De 15 a 19 años;1;1
007;Bella Vista;18;Corrientes;2024;Dengue;10;De 35 a 44 años;18;2
270;Ezeiza;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;12;6
140;San Luis del Palmar;18;Corrientes;2024;Dengue;6;De 10 a 14 años;3;1
091;Simoca;90;Tucumán;2024;Dengue;9;De 25 a 34 años;17;1
861;Vicente López;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;4;1
140;Toay;42;La Pampa;2024;Dengue;6;De 10 a 14 años;9;1
014;Caseros;82;Santa Fe;2024;Dengue;5;De 5 a 9 años;14;1
140;Toay;42;La Pampa;2024;Dengue;11;De 45 a 65 años;15;1
007;Bella Vista;18;Corrientes;2024;Dengue;12;Mayores de 65 años;18;1
505;Magdalena;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;10;1
770;San Pedro;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;16;1
021;Colón;14;Córdoba;2024;Dengue;5;De 5 a 9 años;5;1
007;Atreucó;42;La Pampa;2024;Dengue;12;Mayores de 65 años;14;1
217;Chascomús;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;11;2
260;Esteban Echeverría;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;17;4
035;Confluencia;58;Neuquén;2024;Dengue;9;De 25 a 34 años;16;2
035;Curuzú Cuatiá;18;Corrientes;2024;Dengue;11;De 45 a 65 años;11;1
112;San Pedro;54;Misiones;2024;Dengue;8;De 20 a 24 años;6;1
021;Andalgalá;10;Catamarca;2024;Dengue;5;De 5 a 9 años;12;1
063;Lules;90;Tucumán;2024;Dengue;5;De 5 a 9 años;6;1
574;Navarro;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;14;1
623;Pergamino;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;9;1
056;Copo;86;Santiago del Estero;2024;Dengue;8;De 20 a 24 años;16;1
063;Ramón Lista;34;Formosa;2024;Dengue;7;De 15 a 19 años;19;1
077;La Caldera;66;Salta;2024;Dengue;7;De 15 a 19 años;14;1
056;Juárez Celman;14;Córdoba;2024;Dengue;11;De 45 a 65 años;8;1
784;Suipacha;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;14;1
547;Monte;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;14;1
014;Bermejo;22;Chaco;2024;Dengue;8;De 20 a 24 años;6;2
007;Río Grande;94;Tierra del Fuego;2024;Dengue;5;De 5 a 9 años;11;1
357;General Pueyrredón;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;4;1
084;La Candelaria;66;Salta;2024;Dengue;8;De 20 a 24 años;13;1
028;Concepción;18;Corrientes;2024;Dengue;9;De 25 a 34 años;3;1
084;Paraná;30;Entre Ríos;2024;Dengue;1;Neonato (hasta 28 dÍas);14;1
609;Pehuajó;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;14;1
098;Río Cuarto;14;Córdoba;2024;Dengue;12;Mayores de 65 años;14;1
070;Iruya;66;Salta;2024;Dengue;9;De 25 a 34 años;16;1
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;7;23
035;Banda;86;Santiago del Estero;2024;Dengue;7;De 15 a 19 años;11;62
112;Metán;66;Salta;2024;Dengue;9;De 25 a 34 años;6;7
014;Alberdi;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;3;1
077;Libertador Grl. San Martín;54;Misiones;2024;Dengue;11;De 45 a 65 años;11;2
042;General San Martín;14;Córdoba;2024;Dengue;11;De 45 a 65 años;2;2
035;Avellaneda;06;Buenos Aires;2024;Dengue;3;De 13 a 24 meses;9;1
999;desconocido;02;CABA;2024;Dengue;10;De 35 a 44 años;8;1
098;Santa Rosa;10;Catamarca;2024;Dengue;6;De 10 a 14 años;11;1
049;Pilcomayo;34;Formosa;2024;Dengue;8;De 20 a 24 años;1;10
004;COMUNA 4;02;CABA;2024;Dengue;7;De 15 a 19 años;15;8
105;Los Andes;66;Salta;2024;Dengue;5;De 5 a 9 años;12;1
